City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,maxixe,-23.8597,35.3472,21.77,67,88,6.06,MZ,1699916291
246,garachico,28.7781,-17.7646,23.05,88,0,4.12,ES,1699916292
247,mooirivier,-29.2082,29.9946,9.25,96,100,2.13,ZA,1699916293
248,palmas,-10.2128,-48.3603,30.93,62,0,0.51,BR,1699916294
249,marquette,46.5333,-87.6335,4.87,68,14,1.34,US,1699916265
250,wladyslawowo,54.7909,18.4009,5.52,73,96,6.06,PL,1699916296
251,ujae,8.9322,165.7642,28.24,82,100,8.78,MH,1699916284
252,igarka,67.4667,86.5833,-12.72,90,99,8.2,RU,1699916132
253,mechanicsville,37.6088,-77.3733,11.24,71,40,3.09,US,1699916299
254,amos,48.5669,-78.1162,0.28,99,100,2.65,CA,1699916299
255,fort bragg,35.139,-79.006,15.91,57,0,2.06,US,1699916301
256,jimenez,28.3333,-105.4,19.03,52,83,3.07,MX,1699916302
257,chimore,-16.9833,-65.1333,27.71,68,96,0.94,BO,1699916303
258,sal rei,16.1833,-22.9167,25.88,73,68,6.33,CV,1699916304
259,wynyard,-41,145.7167,15.59,50,98,3.11,AU,1699916305
260,agat village,13.3886,144.6585,30.42,81,40,6.69,GU,1699916306
261,hamilton,39.1834,-84.5333,15.35,39,20,4.63,US,1699915955
262,rafaela,-31.2503,-61.4867,22.77,62,75,2.24,AR,1699916308
263,constantia,44.1833,28.65,2.38,51,0,4.01,RO,1699916155
264,nar'yan-mar,67.6713,53.087,-13.27,97,100,3.58,RU,1699916111
265,jan kempdorp,-27.9225,24.8305,19.16,18,0,6.62,ZA,1699916310
266,arzachena,41.0769,9.3887,19.69,80,100,6.95,IT,1699916311
267,sillamae,59.3997,27.7547,2.3,89,100,4.51,EE,1699916312
268,borujen,31.9652,51.2873,9.26,38,85,0.79,IR,1699916313
269,polyarnyy,69.1989,33.4478,-8.43,95,100,0.8,RU,1699916282
270,phon,15.816,102.5998,22.09,78,89,4.77,TH,1699916316
271,nadi,-17.8,177.4167,30,66,75,5.14,FJ,1699916295
272,esquel,-42.9,-71.3167,4.39,66,52,6.97,AR,1699916318
273,rawson,-43.3002,-65.1023,19.42,21,97,8.74,AR,1699916319
274,badger,64.8,-147.5333,-2.07,91,100,2.06,US,1699916158
275,santa cruz,-17.8,-63.1667,32.03,55,20,6.17,BO,1699916266
276,castillos,-34.1667,-53.8333,15.37,88,100,4.39,UY,1699916322
277,la passe,45.5549,-0.8967,17.13,95,100,6.33,FR,1699915979
278,yazman,29.1212,71.7446,20.39,36,100,2.83,PK,1699916324
279,khandyga,62.6667,135.6,-33.18,100,67,1.28,RU,1699916289
280,salalah,17.0151,54.0924,26.69,69,25,0.94,OM,1699916326
